Nr	TID	PID	x [pixel]	y [pixel]	t [sec]	I [val]	Len [pixel]	D2S [pixel]	D2R [pixel]	D2P [pixel]	v [pixel/sec]	α [deg]	Δα [deg]
268	2	105	813	271	0	40.8	466.276	162.334	NA	13.928	NA	-158.962	-18.607
269	2	106	803	263	0	37.3	479.083	167.269	NA	12.806	NA	-141.34	17.622
270	2	107	800	249	0	50.3	493.4	180.242	NA	14.318	NA	-102.095	39.245
271	2	108	802	244	0	42.8	498.786	185.55	NA	5.385	NA	-68.199	33.896
272	2	109	806	240	0	40.8	504.442	190.332	NA	5.657	NA	-45	23.199
273	2	110	815	231	0	96.8	517.17	201.257	NA	12.728	NA	-45	0
274	2	111	809	227	0	43.2	524.381	203.673	NA	7.211	NA	-146.31	-101.31
275	2	112	812	221	0	45.5	531.09	210.204	NA	6.708	NA	-63.435	82.875
276	2	113	812	215	0	51	537.09	216.041	NA	6	NA	-90	-26.565
277	2	114	822	214	0	43.2	547.139	219.504	NA	10.05	NA	-5.711	84.289
278	2	115	830	212	0	44.4	555.386	223.707	NA	8.246	NA	-14.036	-8.326
279	2	116	850	207	0	65.6	576.001	235.152	NA	20.616	NA	-14.036	0
280	2	117	855	203	0	45.2	582.404	240.744	NA	6.403	NA	-38.66	-24.624
281	2	118	870	197	0	43	598.56	252.303	NA	16.155	NA	-21.801	16.858
282	2	119	881	192	0	77.1	610.643	261.624	NA	12.083	NA	-24.444	-2.643
283	2	120	889	189	0	41.7	619.187	267.981	NA	8.544	NA	-20.556	3.888
284	2	121	897	188	0	41.9	627.249	272.713	NA	8.062	NA	-7.125	13.431
285	2	122	905	181	0	37.3	637.879	282.768	NA	10.63	NA	-41.186	-34.061
286	2	123	915	177	0	35.1	648.65	291.333	NA	10.77	NA	-21.801	19.385
287	2	124	922	174	0	40.1	656.265	297.583	NA	7.616	NA	-23.199	-1.397
288	2	125	932	171	0	38.8	666.706	305.547	NA	10.44	NA	-16.699	6.499
289	2	126	949	166	0	43.9	684.426	319.334	NA	17.72	NA	-16.39	0.31
290	2	127	961	164	0	39.9	696.591	328.072	NA	12.166	NA	-9.462	6.927
291	2	128	982	151	0	67.4	721.289	351.235	NA	24.698	NA	-31.759	-22.297
292	2	129	994	144	0	60.4	735.182	364.23	NA	13.892	NA	-30.256	1.503
293	2	130	1010	137	0	60.7	752.646	379.881	NA	17.464	NA	-23.629	6.627
294	2	131	1026	127	0	42.9	771.514	397.929	NA	18.868	NA	-32.005	-8.376
295	2	132	1037	113	0	47.9	789.319	415.705	NA	17.804	NA	-51.843	-19.837
296	2	133	1042	105	0	42.1	798.753	425.018	NA	9.434	NA	-57.995	-6.152
297	2	134	1029	99	0	41.9	813.07	421.221	NA	14.318	NA	-155.225	-97.23
298	2	135	1006	99	0	36.2	836.07	407.068	NA	23	NA	180	-24.775
299	2	136	986	85	0	49.2	860.484	407.068	NA	24.413	NA	-145.008	34.992
300	2	137	973	75	0	48.9	876.885	408.624	NA	16.401	NA	-142.431	2.577
301	2	138	970	67	0	41.9	885.429	413.993	NA	8.544	NA	-110.556	31.875
302	2	139	980	66	0	42.9	895.479	419.945	NA	10.05	NA	-5.711	104.845
303	2	140	974	63	0	45.6	902.187	419.461	NA	6.708	NA	-153.435	-147.724
304	2	141	966	61	0	49.1	910.433	417.233	NA	8.246	NA	-165.964	-12.529
305	2	142	947	48	0	50.2	933.455	419.951	NA	23.022	NA	-145.62	20.344
306	2	143	928	37	0	53.6	955.409	422.064	NA	21.954	NA	-149.931	-4.312
307	2	144	913	24	0	50.9	975.259	428.566	NA	19.849	NA	-139.086	10.846
308	2	145	909	17	0	59.6	983.321	433.762	NA	8.062	NA	-119.745	19.341
