Nr	TID	PID	x [pixel]	y [pixel]	t [sec]	I [val]	Len [pixel]	D2S [pixel]	D2R [pixel]	D2P [pixel]	v [pixel/sec]	α [deg]	Δα [deg]
161	1	161	836.808	545.352	0	181.7	208.393	33.086	NA	3.005	NA	180	59.036
162	1	162	836.808	545.352	0	57.9	208.393	33.086	NA	0	NA	0	-180
163	1	163	832.3	545.352	0	90.9	212.9	36.677	NA	4.507	NA	180	180
164	1	164	830.798	545.352	0	43.1	214.402	37.918	NA	1.502	NA	180	0
165	1	165	827.793	545.352	0	34.1	217.407	40.452	NA	3.005	NA	180	0
166	1	166	827.793	545.352	0	46.5	217.407	40.452	NA	0	NA	0	-180
167	1	167	827.793	545.352	0	46.5	217.407	40.452	NA	0	NA	0	0
168	1	168	823.286	545.352	0	36.9	221.914	44.364	NA	4.507	NA	180	180
169	1	169	823.286	545.352	0	47.5	221.914	44.364	NA	0	NA	0	-180
170	1	170	823.286	546.854	0	49.1	223.416	45.095	NA	1.502	NA	90	90
171	1	171	820.282	548.357	0	47.5	226.776	48.449	NA	3.359	NA	153.435	63.435
172	1	172	818.779	548.357	0	46.5	228.278	49.759	NA	1.502	NA	180	26.565
173	1	173	815.775	551.362	0	46.5	232.527	53.854	NA	4.249	NA	135	-45
174	1	174	815.775	551.362	0	45.4	232.527	53.854	NA	0	NA	0	-135
175	1	175	815.775	555.869	0	38.8	237.034	56.253	NA	4.507	NA	90	90
176	1	176	815.775	555.869	0	50.9	237.034	56.253	NA	0	NA	0	-90
177	1	177	818.779	552.864	0	47.5	241.283	52.086	NA	4.249	NA	-45	-45
178	1	178	818.779	552.864	0	48.5	241.283	52.086	NA	0	NA	0	45
179	1	179	818.779	552.864	0	48.5	241.283	52.086	NA	0	NA	0	0
180	1	180	818.779	552.864	0	47.5	241.283	52.086	NA	0	NA	0	0
181	1	181	821.784	561.878	0	189.5	250.785	55.281	NA	9.502	NA	71.565	71.565
182	1	182	821.784	561.878	0	176.1	250.785	55.281	NA	0	NA	0	-71.565
183	1	183	821.784	561.878	0	69.9	250.785	55.281	NA	0	NA	0	0
184	1	184	821.784	561.878	0	45.8	250.785	55.281	NA	0	NA	0	0
185	1	185	821.784	561.878	0	39.9	250.785	55.281	NA	0	NA	0	0
186	1	186	821.784	560.376	0	50.4	252.287	54.272	NA	1.502	NA	-90	-90
187	1	187	821.784	558.873	0	51	253.79	53.286	NA	1.502	NA	-90	0
188	1	188	821.784	549.859	0	48.7	262.804	47.934	NA	9.014	NA	-90	0
189	1	189	821.784	554.366	0	52.6	267.311	50.48	NA	4.507	NA	90	180
190	1	190	821.784	552.864	0	52.6	268.813	49.6	NA	1.502	NA	-90	-180
191	1	191	821.784	552.864	0	53.3	268.813	49.6	NA	0	NA	0	90
192	1	192	821.784	554.366	0	55.5	270.316	50.48	NA	1.502	NA	90	90
193	1	193	814.272	551.362	0	52.2	278.406	55.159	NA	8.09	NA	-158.199	111.801
194	1	194	814.272	551.362	0	56.8	278.406	55.159	NA	0	NA	0	158.199
195	1	195	802.254	549.859	0	79.1	290.518	65.296	NA	12.112	NA	-172.875	-172.875
196	1	196	805.258	555.869	0	54.9	297.237	65.227	NA	6.719	NA	63.435	-123.69
197	1	197	800.751	554.366	0	53.5	301.988	68.534	NA	4.751	NA	-161.565	135
198	1	198	793.239	554.366	0	47.9	309.5	75.357	NA	7.512	NA	180	-18.435
199	1	199	793.239	554.366	0	54	309.5	75.357	NA	0	NA	0	-180
200	1	200	791.737	551.362	0	57.2	312.859	75.612	NA	3.359	NA	-116.565	-116.565
201	1	201	791.737	551.362	0	55.6	312.859	75.612	NA	0	NA	0	116.565
202	1	202	787.23	551.362	0	58.3	317.366	79.837	NA	4.507	NA	180	180
203	1	203	787.23	551.362	0	58.5	317.366	79.837	NA	0	NA	0	-180
204	1	204	785.728	551.362	0	60.8	318.868	81.252	NA	1.502	NA	180	180
205	1	205	784.225	551.362	0	60.6	320.371	82.67	NA	1.502	NA	180	0
206	1	206	781.221	551.362	0	61	323.375	85.515	NA	3.005	NA	180	0
207	1	207	781.221	549.859	0	61	324.878	85.052	NA	1.502	NA	-90	90
208	1	208	781.221	549.859	0	61	324.878	85.052	NA	0	NA	0	90
209	1	209	781.221	549.859	0	60.6	324.878	85.052	NA	0	NA	0	0
210	1	210	784.225	546.854	0	62.8	329.127	81.307	NA	4.249	NA	-45	-45
211	1	211	784.225	546.854	0	61.4	329.127	81.307	NA	0	NA	0	45
212	1	212	784.225	546.854	0	61.6	329.127	81.307	NA	0	NA	0	0
213	1	213	784.225	546.854	0	62.6	329.127	81.307	NA	0	NA	0	0
214	1	214	784.225	546.854	0	63.6	329.127	81.307	NA	0	NA	0	0
215	1	215	784.225	546.854	0	62.4	329.127	81.307	NA	0	NA	0	0
216	1	216	784.225	546.854	0	65.3	329.127	81.307	NA	0	NA	0	0
217	1	217	785.728	549.859	0	67.4	332.486	80.764	NA	3.359	NA	63.435	63.435
218	1	218	785.728	551.362	0	67.4	333.989	81.252	NA	1.502	NA	90	26.565
219	1	219	785.728	554.366	0	68.4	336.993	82.301	NA	3.005	NA	90	0
220	1	220	779.718	555.869	0	78.1	343.188	88.447	NA	6.194	NA	165.964	75.964
221	1	221	775.211	552.864	0	54.6	348.605	91.692	NA	5.417	NA	-146.31	47.726
222	1	222	772.207	552.864	0	55.6	351.609	94.552	NA	3.005	NA	180	-33.69
223	1	223	770.704	552.864	0	62.9	353.112	95.986	NA	1.502	NA	180	0
224	1	224	769.202	552.864	0	65.1	354.614	97.421	NA	1.502	NA	180	0
225	1	225	769.202	552.864	0	63.9	354.614	97.421	NA	0	NA	0	-180
226	1	226	763.192	552.864	0	58	360.623	103.182	NA	6.009	NA	180	180
227	1	227	757.183	552.864	0	40.5	366.633	108.969	NA	6.009	NA	180	0
228	1	228	754.178	555.869	0	37.4	370.882	112.676	NA	4.249	NA	135	-45
229	1	229	754.178	555.869	0	45.4	370.882	112.676	NA	0	NA	0	-135
230	1	230	754.178	555.869	0	56	370.882	112.676	NA	0	NA	0	0
231	1	231	746.667	558.873	0	41.5	378.972	120.731	NA	8.09	NA	158.199	158.199
232	1	232	739.155	563.38	0	151.8	387.733	129.237	NA	8.76	NA	149.036	-9.162
233	1	233	740.657	563.38	0	47	389.235	127.806	NA	1.502	NA	0	-149.036
234	1	234	740.657	563.38	0	47.6	389.235	127.806	NA	0	NA	0	0
235	1	235	740.657	563.38	0	47.6	389.235	127.806	NA	0	NA	0	0
236	1	236	739.155	567.887	0	51	393.986	130.67	NA	4.751	NA	108.435	108.435
237	1	237	739.155	569.39	0	49	395.488	131.178	NA	1.502	NA	90	-18.435
238	1	238	739.155	569.39	0	46.7	395.488	131.178	NA	0	NA	0	-90
239	1	239	742.16	569.39	0	53.4	398.493	128.361	NA	3.005	NA	0	0
240	1	240	742.16	569.39	0	53.4	398.493	128.361	NA	0	NA	0	0
241	1	241	742.16	572.394	0	53.4	401.497	129.446	NA	3.005	NA	90	90
242	1	242	742.16	573.897	0	52.3	403	130.012	NA	1.502	NA	90	0
243	1	243	740.657	575.399	0	51.4	405.124	131.976	NA	2.125	NA	135	45
244	1	244	740.657	575.399	0	50	405.124	131.976	NA	0	NA	0	-135
245	1	245	740.657	575.399	0	50	405.124	131.976	NA	0	NA	0	0
246	1	246	740.657	576.901	0	50.1	406.627	132.565	NA	1.502	NA	90	90
247	1	247	740.657	576.901	0	51.3	406.627	132.565	NA	0	NA	0	-90
248	1	248	740.657	576.901	0	49.7	406.627	132.565	NA	0	NA	0	0
249	1	249	740.657	576.901	0	48.7	406.627	132.565	NA	0	NA	0	0
250	1	250	734.648	579.906	0	49.1	413.345	139.273	NA	6.719	NA	153.435	153.435
251	1	251	734.648	579.906	0	47.5	413.345	139.273	NA	0	NA	0	-153.435
252	1	252	734.648	579.906	0	49.1	413.345	139.273	NA	0	NA	0	0
253	1	253	734.648	581.408	0	49.7	414.848	139.88	NA	1.502	NA	90	90
254	1	254	736.15	585.915	0	49.7	419.599	140.427	NA	4.751	NA	71.565	-18.435
255	2	1	862.347	422.16	0	60.7	0	0	NA	NA	NA	NA	NA
256	2	2	862.347	422.16	0	91.1	0	0	NA	0	NA	0	NA
257	2	3	862.347	422.16	0	156.4	0	0	NA	0	NA	0	0
258	2	4	862.347	420.657	0	108	1.502	1.502	NA	1.502	NA	-90	-90
259	2	5	862.347	423.662	0	185.2	4.507	1.502	NA	3.005	NA	90	180
260	2	6	862.347	420.657	0	193.4	7.512	1.502	NA	3.005	NA	-90	-180
261	2	7	863.85	417.653	0	58.2	10.871	4.751	NA	3.359	NA	-63.435	26.565
262	2	8	863.85	416.15	0	61.6	12.373	6.194	NA	1.502	NA	-90	-26.565
263	2	9	863.85	416.15	0	47.4	12.373	6.194	NA	0	NA	0	90
264	2	10	863.85	416.15	0	39.4	12.373	6.194	NA	0	NA	0	0
265	2	11	863.85	414.648	0	47.9	13.876	7.66	NA	1.502	NA	-90	-90
266	2	12	863.85	414.648	0	76.7	13.876	7.66	NA	0	NA	0	90
267	2	13	863.85	414.648	0	168.9	13.876	7.66	NA	0	NA	0	0
268	2	14	868.357	416.15	0	59.4	18.627	8.499	NA	4.751	NA	18.435	18.435
269	2	15	869.859	417.653	0	217.6	20.751	8.76	NA	2.125	NA	45	26.565
270	2	16	872.864	411.643	0	49.8	27.47	14.872	NA	6.719	NA	-63.435	-108.435
271	2	17	871.362	416.15	0	131.6	32.221	10.834	NA	4.751	NA	108.435	171.87
272	2	18	871.362	414.648	0	179.4	33.723	11.734	NA	1.502	NA	-90	161.565
273	2	19	874.366	414.648	0	76.8	36.728	14.173	NA	3.005	NA	0	90
274	2	20	874.366	414.648	0	94.4	36.728	14.173	NA	0	NA	0	0
275	2	21	875.869	414.648	0	153.9	38.23	15.468	NA	1.502	NA	0	0
276	2	22	875.869	414.648	0	167.9	38.23	15.468	NA	0	NA	0	0
277	2	23	877.371	413.146	0	44.3	40.355	17.52	NA	2.125	NA	-45	-45
278	2	24	878.873	413.146	0	83.2	41.857	18.824	NA	1.502	NA	0	45
279	2	25	880.376	413.146	0	124.8	43.36	20.156	NA	1.502	NA	0	0
280	2	26	880.376	413.146	0	109.4	43.36	20.156	NA	0	NA	0	0
281	2	27	883.38	413.146	0	207.2	46.364	22.883	NA	3.005	NA	0	0
282	2	28	883.38	413.146	0	194.4	46.364	22.883	NA	0	NA	0	0
283	2	29	883.38	414.648	0	195.5	47.867	22.334	NA	1.502	NA	90	90
284	2	30	883.38	414.648	0	214.1	47.867	22.334	NA	0	NA	0	-90
285	2	31	883.38	414.648	0	213.9	47.867	22.334	NA	0	NA	0	0
286	2	32	881.878	414.648	0	125.5	49.369	20.925	NA	1.502	NA	180	180
287	2	33	881.878	414.648	0	93.4	49.369	20.925	NA	0	NA	0	-180
288	2	34	884.883	422.16	0	157.6	57.459	22.535	NA	8.09	NA	68.199	68.199
289	2	35	883.38	417.653	0	200.6	62.21	21.51	NA	4.751	NA	-108.435	-176.634
290	2	36	883.38	417.653	0	218.8	62.21	21.51	NA	0	NA	0	108.435
291	2	37	880.376	417.653	0	116.8	65.215	18.583	NA	3.005	NA	180	180
292	2	38	878.873	417.653	0	49.2	66.717	17.129	NA	1.502	NA	180	0
293	2	39	878.873	417.653	0	47.6	66.717	17.129	NA	0	NA	0	-180
294	2	40	878.873	420.657	0	214.4	69.722	16.594	NA	3.005	NA	90	90
295	2	41	878.873	420.657	0	220.4	69.722	16.594	NA	0	NA	0	-90
296	2	42	874.366	420.657	0	168.9	74.229	12.112	NA	4.507	NA	180	180
297	2	43	872.864	420.657	0	104.9	75.731	10.623	NA	1.502	NA	180	0
298	2	44	871.362	420.657	0	60.5	77.234	9.138	NA	1.502	NA	180	0
299	2	45	869.859	422.16	0	124.9	79.358	7.512	NA	2.125	NA	135	-45
300	2	46	866.854	422.16	0	89.4	82.363	4.507	NA	3.005	NA	180	45
301	2	47	865.352	422.16	0	110.7	83.865	3.005	NA	1.502	NA	180	0
302	2	48	865.352	422.16	0	53.5	83.865	3.005	NA	0	NA	0	-180
303	2	49	862.347	422.16	0	181.9	86.87	0	NA	3.005	NA	180	180
304	2	50	863.85	422.16	0	48.7	88.372	1.502	NA	1.502	NA	0	-180
305	2	51	863.85	422.16	0	80.4	88.372	1.502	NA	0	NA	0	0
306	2	52	862.347	422.16	0	54.8	89.875	0	NA	1.502	NA	180	180
307	2	53	862.347	422.16	0	52.5	89.875	0	NA	0	NA	0	-180
308	2	54	865.352	422.16	0	194.5	92.879	3.005	NA	3.005	NA	0	0
309	2	55	865.352	422.16	0	171.1	92.879	3.005	NA	0	NA	0	0
310	2	56	868.357	422.16	0	167.8	95.884	6.009	NA	3.005	NA	0	0
311	2	57	868.357	422.16	0	195.4	95.884	6.009	NA	0	NA	0	0
312	2	58	868.357	422.16	0	122.3	95.884	6.009	NA	0	NA	0	0
313	2	59	869.859	422.16	0	133.9	97.386	7.512	NA	1.502	NA	0	0
314	2	60	871.362	422.16	0	116.4	98.889	9.014	NA	1.502	NA	0	0
315	2	61	872.864	422.16	0	195.5	100.391	10.516	NA	1.502	NA	0	0
316	2	62	874.366	422.16	0	192	101.893	12.019	NA	1.502	NA	0	0
317	2	63	874.366	422.16	0	172.1	101.893	12.019	NA	0	NA	0	0
318	2	64	874.366	422.16	0	140.1	101.893	12.019	NA	0	NA	0	0
319	2	65	874.366	422.16	0	160.9	101.893	12.019	NA	0	NA	0	0
320	2	66	874.366	422.16	0	158.2	101.893	12.019	NA	0	NA	0	0
321	2	67	868.357	422.16	0	135.2	107.903	6.009	NA	6.009	NA	180	180
322	2	68	868.357	422.16	0	153.8	107.903	6.009	NA	0	NA	0	-180
323	2	69	863.85	408.638	0	41.7	122.155	13.604	NA	14.253	NA	-108.435	-108.435
324	2	70	862.347	408.638	0	39.7	123.658	13.521	NA	1.502	NA	180	-71.565
325	2	71	860.845	407.136	0	35	125.782	15.098	NA	2.125	NA	-135	45
326	2	72	853.333	405.634	0	168.5	133.443	18.824	NA	7.66	NA	-168.69	-33.69
